,mse,iou,flat,lap,mean_def,inst_def
0,0.9892550892219311,0.9827059142715563,0.0,0.00022892290416151573,0.01490904905831411,0.005452053738950574
1,0.989247167013525,0.9827070111423973,0.0,5.469372496097604e-05,0.02520756214872245,0.0003034785602618448
2,0.989189305562314,0.9827160651121682,0.0,6.729549476573985e-05,0.03245937290442426,0.0002874823007803615
3,0.9891291158955272,0.9827255361933049,0.0,4.377426859452787e-05,0.03432527766752291,0.0002795806418081208
4,0.9889855346059412,0.9827484490910197,0.0,0.00012125601925226061,0.04107031723620688,0.0002695638479083318
5,0.9889198660365934,0.9827572783318962,0.0,0.00010496383638531008,0.04618307769419701,0.00023954859172250524
6,0.9888536321923016,0.9827587358592972,0.0,9.867444130326091e-05,0.04999926824849553,0.00023394430829240463
7,0.9889264166112838,0.9827444000941951,0.0,0.00010049525583345099,0.05386661171034827,0.00022021078334139789
8,0.9889396877308202,0.9827507963267769,0.0,9.991850191265879e-05,0.05935317862445746,0.00022584295714377214
9,0.9889682439284596,0.9827354620627271,0.0,8.711773568016147e-05,0.06374535034221362,0.00022374750167032992
10,0.989011537616815,0.9827278062580077,0.0,6.804738319719095e-05,0.06603061404775798,0.00021960800184136657
11,0.9890311916426915,0.9827244221194973,0.0,6.709213808730927e-05,0.06890064022102492,0.00022209271072477245
12,0.9890554800508468,0.9827229051085992,0.0,7.865824777471106e-05,0.0732529946125862,0.00022120340917154398
13,0.988996429777727,0.9827276811124833,0.0,9.088551260214356e-05,0.07705642466198623,0.00022467251190805913
14,0.9890017543381792,0.9827284224149657,0.0,7.228282504549157e-05,0.08051482839434128,0.00021901077352373338
15,0.9889919817205367,0.9827258572345827,0.0,9.873577734496637e-05,0.08477903720809192,0.0002218866598050818
16,0.9889979946419476,0.982735226793987,0.0,0.00010293702411498946,0.08972396647057883,0.0002213224724391324
17,0.9890006440199488,0.9827256476491447,0.0,0.0001131524379486767,0.09402636418921675,0.00021935564607672385
18,0.9890414379476532,0.9827284577900801,0.0,0.00010627808883808443,0.09637502691428351,0.00021999529825534854
19,0.989153028867109,0.982711546425897,0.0,8.68125473830813e-05,0.10073083221185498,0.00023390488209637313
20,0.9892781450738751,0.9826976297105231,0.0,6.914226353884016e-05,0.10593327875362664,0.00021757821167835292
21,0.9892296381597596,0.9826953824215788,0.0,7.478565791784123e-05,0.10930586630493645,0.0002177630992922402
22,0.9892495010441881,0.9826985707854837,0.0,7.222948406115023e-05,0.1128880834676386,0.0002208525990526385
23,0.9892501548780659,0.9826939609961781,0.0,8.30852363057003e-05,0.11752648494107937,0.00021986176316721962
24,0.9892621040344238,0.9826891258722399,0.0,8.027745770516225e-05,0.1202465462521082,0.00021853884884957944
25,0.9892383397110109,0.9826918335222616,0.0,8.504203801046644e-05,0.12394434727001481,0.00022141127337226493
26,0.9892274111024733,0.9826877587209872,0.0,6.674091329797392e-05,0.12684516720776637,0.0002228318739278295
27,0.9892608220499706,0.9826915369528096,0.0,5.9382355567226394e-05,0.1290088726010749,0.0002242642134720009
28,0.9893304565088535,0.9826831197350975,0.0,6.266932714646739e-05,0.13439536745834157,0.00023486932905956846
29,0.989364774609969,0.9826786911826793,0.0,5.869833678037886e-05,0.1374297042687734,0.00021964320869183136
